Flow,Expected,Actual,Repro steps
P1.1 Cold launch signed out,Welcome/auth only; no Vault or stale signed-in UI,,
P1.2 Sign in,Completes; lands onboarding or signed-in root,,
P1.3 Onboarding name,Name entry continues; no infinite loading,,
P1.4 Signed-in relaunch,Force quit + reopen; session persists,,
P1.5 Sign out,Returns to Welcome/auth,,
P1.6 Signed-out relaunch,Force quit + reopen; still signed out; no ghost property,,
P1.7 Account screen loads,Name email version sign out visible,,
P1.8 Edit name,Save succeeds; no crash; UI updates,,
P1.9 Account refresh,Refresh action completes without error,,
P1.10 Legal links,Each opens expected destination,,
P2.1 Create property,Sheet dismisses; property appears in Vaults,,
P2.2 Edit property,Changes persist in list and vault,,
P2.3 Property in Vaults,Listed/featured correctly; no duplicate headings,,
P2.4 Open vault,Proof vault summary and action tiles for that property,,
P2.5 Back to list,Returns to Vaults,,
P2.6 Switch properties,Each vault shows correct data; featured/current accurate,,
P2.7 No stale data between vaults,Rooms docs readiness match selected property,,
P2.8 Hero readiness state,Hero and readiness match property; no wrong-property state,,
P3.1 Default rooms,Default room list present in Walkthrough,,
P3.2 Add custom room,New room appears in list,,
P3.3 Open room detail,Room evidence screen opens,,
P3.4 Take photos,Photos attach and save path works,,
P3.5 Notes tags condition,Fields save with evidence,,
P3.6 Counts update,Walkthrough/vault counts reflect after return,,
P3.7 Reopen room persistence,Prior evidence loads correctly,,
P3.8 Delete or modify evidence,UI and counts stay consistent,,
P3.9 Move-in vs move-out separation,Move-out capture does not overwrite move-in record incorrectly,,
P4.1 Upload lease,Status Missing to Uploaded; one row,,
P4.2 Upload deposit receipt,Status correct; count updates,,
P4.3 Upload listing screenshot,Status correct; count updates,,
P4.4 Preview doc,Correct file; no stale or wrong object,,
P4.5 Replace doc,Preview shows new file; no duplicate rows,,
P4.6 Delete doc,Row Missing; readiness/export gates consistent,,
P4.7 Counts status update,Vault summary matches document state,,
P4.8 No stale preview,After replace/delete preview matches DB,,
P4.9 No duplicate rows,No duplicate UI rows or obvious double insert,,
P5.1 Create maintenance issue,Appears in list; vault count updates if shown,,
P5.2 Open issue detail,Detail loads with saved fields,,
P5.3 Add follow-up,Follow-up persists in detail,,
P5.4 Attach proof photos,If supported attachments save and display,,
P5.5 Mark resolved,Status and list update; readiness may improve,,
P5.6 Vault summaries update,Open issues and tiles match list,,
P6.1 Open move-out,Move-out screen loads,,
P6.2 Checklist items,Tick persist after leave and return,,
P6.3 Move-out proof one room,Proof saves; visible on return,,
P6.4 Persistence,Navigate away and back; state intact,,
P6.5 Readiness summary,Scores or labels reflect move-out progress,,
P6.6 Move-out export path,If UI exposes export it completes or errors clearly,,
P7.1 Create dispute draft,Draft can be started without crash,,
P7.2 Fill main fields,All required main fields including dates and toggles,,
P7.3 Save draft,Success feedback; no silent failure,,
P7.4 Reopen full restore,All fields and selections restored,,
P7.5 Simple PDF,Generates; share completes or clear error,,
P7.6 Formal packet,Generates; parity with draft fields,,
P7.7 Evidence selections persist,Linked evidence/docs survive save reopen,,
P8.1 Export rows appear,Rows for actions taken show in history,,
P8.2 List loads backend,No stuck loading; no false error after 200,,
P8.3 Move-in export row,Move-in export visible when applicable,,
P8.4 Dispute outputs rows,Simple and formal appear where designed,,
P8.5 Share download,Works per type; signed URL or direct as designed,,
P8.6 Empty state,Sensible copy and no crash when zero exports,,
P8.7 No stale error banner,Success path clears prior errors,,
P9.1 User A data,A can create full property and artifacts,,
P9.2 Sign in B no A leak,B sees no A properties exports or docs,,
P9.3 B creates data,Only B data visible for B,,
P9.4 Sign in A no B bleed,A sees only A data after return,,
P9.5 State clears on switch,No cross-account cache in UI lists or detail,,
